tsId;databaseName;timeseriesUnit;raster
dwd_pollenflug_#Birke#_#Mittelgebirge_Thüringen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Birke#_#Tiefland_Sachsen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Birke#_#Mittelgebirge_Sachsen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Birke#_#Mittelgebirgsbereich_Rheinland-Pfalz#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Birke#_#Rhein_Pfalz_Nahe_und_Mosel#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Birke#_#Saarland#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Birke#_#Nordhessen_und_hess._Mittelgebirge#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Birke#_#Rhein-Main#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Birke#_#Mainfranken#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Birke#_#Oberrhein_und_unteres_Neckartal#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Birke#_#Hohenlohe_mittlerer_Neckar_Oberschwaben#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Birke#_#Mittelgebirge_Baden-Württemberg#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Birke#_#Bayern_nördl._der_Donau_ohne_Bayr._Wald_und_ohne_Mainfranken#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Birke#_#Allgäu_Oberbayern_Bay._Wald#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Birke#_#Donauniederungen#;AllergieDaten;STATUS;PT1D
